# ---X---	---$u_\mathrm{z}$---
-0.528833 0.00547561
-0.518855 0.00527618
-0.508877 0.00508054
-0.498899 0.0048887
-0.488921 0.00470065
-0.478943 0.00451639
-0.468965 0.00433593
-0.458987 0.00415926
-0.449009 0.00398639
-0.439031 0.00381731
-0.429053 0.00365203
-0.419075 0.00349055
-0.409097 0.00333286
-0.399119 0.00317897
-0.389142 0.00302887
-0.379164 0.00288257
-0.369186 0.00274007
-0.359208 0.00260137
-0.34923 0.00246647
-0.339252 0.00233536
-0.329274 0.00220806
-0.319296 0.00208455
-0.309318 0.00196484
-0.29934 0.00184892
-0.289362 0.00173681
-0.279384 0.0016285
-0.269406 0.00152398
-0.259428 0.00142327
-0.24945 0.00132636
-0.239472 0.00123324
-0.229494 0.00114392
-0.219516 0.00105841
-0.209538 0.000976693
-0.19956 0.000898778
-0.189582 0.000824662
-0.179604 0.000754347
-0.169626 0.000687832
-0.159648 0.000625118
-0.14967 0.000566204
-0.139692 0.000511091
-0.129714 0.000459779
-0.119736 0.000412267
-0.109758 0.000368556
-0.0997799 0.000328645
-0.0898019 0.000292536
-0.0798239 0.000260228
-0.0698459 0.00023172
-0.0598679 0.000207013
-0.0498899 0.000186107
-0.0399119 0.000169003
-0.029934 0.000155699
-0.019956 0.000146197
-0.00997799 0.000140495
0 0.000138594
0.00997799 0.000140495
0.019956 0.000146197
0.029934 0.000155699
0.0399119 0.000169003
0.0498899 0.000186107
0.0598679 0.000207013
0.0698459 0.00023172
0.0798239 0.000260228
0.0898019 0.000292536
0.0997799 0.000328645
0.109758 0.000368556
0.119736 0.000412267
0.129714 0.000459779
0.139692 0.000511091
0.14967 0.000566204
0.159648 0.000625118
0.169626 0.000687832
0.179604 0.000754347
0.189582 0.000824662
0.19956 0.000898778
0.209538 0.000976693
0.219516 0.00105841
0.229494 0.00114392
0.239472 0.00123324
0.24945 0.00132636
0.259428 0.00142327
0.269406 0.00152398
0.279384 0.0016285
0.289362 0.00173681
0.29934 0.00184892
0.309318 0.00196484
0.319296 0.00208455
0.329274 0.00220806
0.339252 0.00233536
0.34923 0.00246647
0.359208 0.00260137
0.369186 0.00274007
0.379164 0.00288257
0.389142 0.00302887
0.399119 0.00317897
0.409097 0.00333286
0.419075 0.00349055
0.429053 0.00365203
0.439031 0.00381731
0.449009 0.00398639
0.458987 0.00415926
0.468965 0.00433593
0.478943 0.00451639
0.488921 0.00470065
0.498899 0.0048887
0.508877 0.00508054
0.518855 0.00527618
0.528833 0.00547561
0.538811 0.00567884
0.548789 0.00588585
0.558767 0.00609666
0.568745 0.00631126
0.578723 0.00652964
0.588701 0.00675182
0.598679 0.00697779
0.608657 0.00720754
0.618635 0.00744109
0.628613 0.00767841
0.638591 0.00791953
0.648569 0.00816443
0.658547 0.00841311
0.668525 0.00866558
0.678503 0.00892183
0.688481 0.00918185
0.698459 0.00944566
0.708437 0.00971325
0.718415 0.00998461
0.728393 0.0102597
0.738371 0.0105387
0.748349 0.0108213
0.758327 0.0111078
0.768305 0.011398
0.778283 0.011692
0.788261 0.0119897
0.798239 0.0122912
0.808217 0.0125964
0.818195 0.0129054
0.828173 0.0132182
0.838151 0.0135347
0.848129 0.0138549
0.858107 0.0141788
0.868085 0.0145064
0.878063 0.0148378
0.888041 0.0151728
0.898019 0.0155116
0.907997 0.0158539
0.917975 0.0162
0.927953 0.0165496
0.937931 0.0169028
0.947909 0.0172595
0.957887 0.0176196
0.967865 0.017983
0.977843 0.0183495
0.987821 0.0187185
0.997799 0.019089
1.00778 0.019451
1.01775 0.0197673
1.02773 0.0200573
1.03771 0.0203299
1.04769 0.0205878
1.05767 0.0208337
1.06764 0.0210688
1.07762 0.0212946
1.0876 0.0215117
1.09758 0.0217212
1.10756 0.0219234
1.11753 0.0221191
1.12751 0.0223085
1.13749 0.0224923
1.14747 0.0226707
1.15745 0.022844
1.16742 0.0230124
1.1774 0.0231764
1.18738 0.0233361
1.19736 0.0234917
1.20734 0.0236434
1.21731 0.0237914
1.22729 0.0239358
1.23727 0.0240769
1.24725 0.0242147
1.25723 0.0243494
1.2672 0.0244811
1.27718 0.0246099
1.28716 0.024736
1.29714 0.0248594
1.30712 0.0249802
1.31709 0.0250986
1.32707 0.0252146
1.33705 0.0253282
1.34703 0.0254397
1.35701 0.025549
1.36698 0.0256562
1.37696 0.0257614
1.38694 0.0258646
1.39692 0.0259659
1.4069 0.0260654
1.41687 0.0261631
1.42685 0.0262591
1.43683 0.0263534
1.44681 0.026446
1.45679 0.0265371
1.46676 0.0266266
1.47674 0.0267146
1.48672 0.0268011
1.4967 0.0268863
1.50668 0.02697
1.51665 0.0270524
1.52663 0.0271335
1.53661 0.0272132
1.54659 0.0272918
1.55657 0.0273691
1.56654 0.0274452
1.57652 0.0275201
1.5865 0.027594
1.59648 0.0276667
1.60646 0.0277383
1.61643 0.0278089
1.62641 0.0278784
1.63639 0.0279469
1.64637 0.0280145
1.65635 0.028081
1.66632 0.0281467
1.6763 0.0282114
1.68628 0.0282752
1.69626 0.0283381
1.70624 0.0284001
1.71621 0.0284613
1.72619 0.0285217
1.73617 0.0285812
1.74615 0.02864
1.75613 0.028698
1.7661 0.0287552
1.77608 0.0288117
1.78606 0.0288674
1.79604 0.0289224
1.80602 0.0289767
1.81599 0.0290303
1.82597 0.0290832
1.83595 0.0291355
1.84593 0.029187
1.85591 0.029238
1.86588 0.0292883
1.87586 0.029338
1.88584 0.0293871
1.89582 0.0294356
1.9058 0.0294835
1.91577 0.0295309
1.92575 0.0295776
1.93573 0.0296238
1.94571 0.0296695
1.95569 0.0297146
1.96566 0.0297592
1.97564 0.0298033
1.98562 0.0298469
1.9956 0.0298899
2.00558 0.0299325
2.01555 0.0299746
2.02553 0.0300162
2.03551 0.0300573
2.04549 0.030098
2.05547 0.0301382
2.06544 0.030178
2.07542 0.0302173
2.0854 0.0302562
2.09538 0.0302947
2.10536 0.0303328
2.11533 0.0303704
2.12531 0.0304076
2.13529 0.0304445
2.14527 0.0304809
2.15525 0.030517
2.16522 0.0305526
2.1752 0.0305879
2.18518 0.0306228
2.19516 0.0306574
2.20514 0.0306915
2.21511 0.0307254
2.22509 0.0307588
2.23507 0.030792
2.24505 0.0308248
2.25503 0.0308572
2.265 0.0308893
2.27498 0.0309211
2.28496 0.0309526
2.29494 0.0309838
2.30492 0.0310146
2.31489 0.0310451
2.32487 0.0310754
2.33485 0.0311053
2.34483 0.0311349
2.35481 0.0311642
2.36478 0.0311933
2.37476 0.0312221
2.38474 0.0312505
2.39472 0.0312787
2.40469 0.0313067
2.41467 0.0313343
2.42465 0.0313617
2.43463 0.0313888
2.44461 0.0314157
2.45458 0.0314423
2.46456 0.0314687
2.47454 0.0314948
2.48452 0.0315206
2.4945 0.0315462
2.50447 0.0315716
2.51445 0.0315967
2.52443 0.0316216
2.53441 0.0316463
2.54439 0.0316707
2.55436 0.0316949
2.56434 0.0317189
2.57432 0.0317426
2.5843 0.0317662
2.59428 0.0317895
2.60425 0.0318126
2.61423 0.0318355
2.62421 0.0318582
2.63419 0.0318806
2.64417 0.0319029
2.65414 0.031925
2.66412 0.0319468
2.6741 0.0319685
2.68408 0.03199
2.69406 0.0320113
2.70403 0.0320323
2.71401 0.0320532
2.72399 0.0320739
2.73397 0.0320945
2.74395 0.0321148
2.75392 0.032135
2.7639 0.032155
2.77388 0.0321748
2.78386 0.0321944
2.79384 0.0322138
2.80381 0.0322331
2.81379 0.0322522
2.82377 0.0322712
2.83375 0.0322899
2.84373 0.0323086
2.8537 0.032327
2.86368 0.0323453
2.87366 0.0323634
2.88364 0.0323814
2.89362 0.0323992
2.90359 0.0324168
2.91357 0.0324343
2.92355 0.0324517
2.93353 0.0324689
2.94351 0.0324859
2.95348 0.0325028
2.96346 0.0325196
2.97344 0.0325362
2.98342 0.0325526
2.9934 0.032569
3.00337 0.0325851
3.01335 0.0326012
3.02333 0.0326171
3.03331 0.0326328
3.04329 0.0326485
3.05326 0.0326639
3.06324 0.0326793
3.07322 0.0326945
3.0832 0.0327096
3.09318 0.0327246
3.10315 0.0327394
3.11313 0.0327541
3.12311 0.0327687
3.13309 0.0327832
3.14307 0.0327975
3.15304 0.0328117
3.16302 0.0328258
3.173 0.0328398
3.18298 0.0328536
3.19296 0.0328673
3.20293 0.0328809
3.21291 0.0328944
3.22289 0.0329078
3.23287 0.0329211
3.24285 0.0329342
3.25282 0.0329472
3.2628 0.0329601
3.27278 0.032973
3.28276 0.0329856
3.29274 0.0329982
3.30271 0.0330107
3.31269 0.0330231
3.32267 0.0330353
3.33265 0.0330475
3.34263 0.0330595
3.3526 0.0330715
3.36258 0.0330833
3.37256 0.0330951
3.38254 0.0331067
3.39252 0.0331182
3.40249 0.0331297
3.41247 0.033141
3.42245 0.0331522
3.43243 0.0331634
3.44241 0.0331744
3.45238 0.0331853
3.46236 0.0331962
3.47234 0.0332069
3.48232 0.0332176
3.4923 0.0332282
3.50227 0.0332386
3.51225 0.033249
3.52223 0.0332593
3.53221 0.0332695
3.54219 0.0332796
3.55216 0.0332896
3.56214 0.0332995
3.57212 0.0333093
3.5821 0.033319
3.59208 0.0333287
3.60205 0.0333383
3.61203 0.0333477
3.62201 0.0333571
3.63199 0.0333664
3.64197 0.0333756
3.65194 0.0333848
3.66192 0.0333938
3.6719 0.0334028
3.68188 0.0334117
3.69186 0.0334205
3.70183 0.0334292
3.71181 0.0334378
3.72179 0.0334464
3.73177 0.0334548
3.74175 0.0334632
3.75172 0.0334716
3.7617 0.0334798
3.77168 0.0334879
3.78166 0.033496
3.79164 0.033504
3.80161 0.033512
3.81159 0.0335198
3.82157 0.0335276
3.83155 0.0335353
3.84153 0.0335429
3.8515 0.0335504
3.86148 0.0335579
3.87146 0.0335653
3.88144 0.0335726
3.89142 0.0335798
3.90139 0.033587
3.91137 0.0335941
3.92135 0.0336012
3.93133 0.0336081
3.94131 0.033615
3.95128 0.0336218
3.96126 0.0336285
3.97124 0.0336352
3.98122 0.0336418
3.99119 0.0336484
4.00117 0.0336548
4.01115 0.0336612
4.02113 0.0336675
4.03111 0.0336738
4.04108 0.03368
4.05106 0.0336861
4.06104 0.0336921
4.07102 0.0336981
4.081 0.033704
4.09097 0.0337099
4.10095 0.0337157
4.11093 0.0337214
4.12091 0.0337271
4.13089 0.0337326
4.14086 0.0337382
4.15084 0.0337436
4.16082 0.033749
4.1708 0.0337543
4.18078 0.0337596
4.19075 0.0337648
4.20073 0.0337699
4.21071 0.033775
4.22069 0.03378
4.23067 0.033785
4.24064 0.0337899
4.25062 0.0337947
4.2606 0.0337995
4.27058 0.0338041
4.28056 0.0338088
4.29053 0.0338134
4.30051 0.0338179
4.31049 0.0338223
4.32047 0.0338267
4.33045 0.0338311
4.34042 0.0338353
4.3504 0.0338395
4.36038 0.0338437
4.37036 0.0338478
4.38034 0.0338518
4.39031 0.0338558
4.40029 0.0338597
4.41027 0.0338636
4.42025 0.0338674
4.43023 0.0338711
4.4402 0.0338748
4.45018 0.0338784
4.46016 0.033882
4.47014 0.0338855
4.48012 0.0338889
4.49009 0.0338923
4.50007 0.0338957
4.51005 0.0338989
4.52003 0.0339021
4.53001 0.0339053
4.53998 0.0339084
4.54996 0.0339115
4.55994 0.0339145
4.56992 0.0339174
4.5799 0.0339203
4.58987 0.0339231
4.59985 0.0339259
4.60983 0.0339286
4.61981 0.0339312
4.62979 0.0339338
4.63976 0.0339364
4.64974 0.0339389
4.65972 0.0339413
4.6697 0.0339437
4.67968 0.033946
4.68965 0.0339483
4.69963 0.0339505
4.70961 0.0339526
4.71959 0.0339548
4.72957 0.0339568
4.73954 0.0339588
4.74952 0.0339607
4.7595 0.0339626
4.76948 0.0339645
4.77946 0.0339662
4.78943 0.033968
4.79941 0.0339696
4.80939 0.0339713
4.81937 0.0339728
4.82935 0.0339743
4.83932 0.0339758
4.8493 0.0339772
4.85928 0.0339785
4.86926 0.0339798
4.87924 0.0339811
4.88921 0.0339823
4.89919 0.0339834
4.90917 0.0339845
4.91915 0.0339855
4.92913 0.0339865
4.9391 0.0339874
4.94908 0.0339883
4.95906 0.0339891
4.96904 0.0339899
4.97902 0.0339906
4.98899 0.0339913
4.99897 0.0339919
5.00895 0.0339924
5.01893 0.0339929
5.02891 0.0339934
5.03888 0.0339938
5.04886 0.0339941
5.05884 0.0339944
5.06882 0.0339946
5.0788 0.0339948
5.08877 0.0339949
5.09875 0.033995
