# ---X---	---Y---
0.0798239 1.25093
0.0898019 1.25001
0.0997799 1.24901
0.109758 1.24788
0.119736 1.24671
0.129714 1.2454
0.139692 1.24402
0.14967 1.24253
0.159648 1.24095
0.169626 1.23928
0.179604 1.23752
0.189582 1.23565
0.19956 1.2337
0.209538 1.23168
0.219516 1.22953
0.229494 1.2273
0.239472 1.22497
0.24945 1.22259
0.259428 1.22008
0.269406 1.21752
0.279384 1.21486
0.289362 1.21212
0.29934 1.20928
0.309318 1.20636
0.319296 1.20337
0.329274 1.20029
0.339252 1.19715
0.34923 1.19392
0.359208 1.19062
0.369186 1.18724
0.379164 1.18381
0.389142 1.18028
0.399119 1.17672
0.409097 1.17308
0.419075 1.1694
0.429053 1.16566
0.439031 1.16187
0.449009 1.15803
0.458987 1.15416
0.468965 1.15022
0.478943 1.14628
0.488921 1.14231
0.498899 1.13829
0.508877 1.13427
0.518855 1.13025
0.528833 1.12621
0.538811 1.12219
0.548789 1.11812
0.558767 1.11407
0.568745 1.11005
0.578723 1.10607
0.588701 1.10208
0.598679 1.09811
0.608657 1.09415
0.618635 1.09019
0.628613 1.08612
0.638591 1.08159
0.648569 1.07401
0.658547 1.05694
0.668525 1.04731
0.678503 1.04065
0.688481 1.03519
0.698459 1.03072
0.708437 1.02689
0.718415 1.02361
0.728393 1.02076
0.738371 1.01828
0.748349 1.01609
0.758327 1.01418
0.768305 1.01248
0.778283 1.01098
0.788261 1.00965
0.798239 1.00847
0.808217 1.00742
0.818195 1.00648
0.828173 1.00565
0.838151 1.00491
0.848129 1.00425
0.858107 1.00366
0.868085 1.00314
0.878063 1.00267
0.888041 1.00226
0.898019 1.00189
0.907997 1.00157
0.917975 1.00128
0.927953 1.00102
0.937931 1.0008
0.947909 1.0006
0.957887 1.00043
0.967865 1.00028
0.977843 1.00015
0.987821 1.00003
0.997799 0.999932
1.00778 0.999846
1.01775 0.999774
1.02773 0.999711
1.03771 0.99966
1.04769 0.999617
1.05767 0.999582
1.06764 0.999553
1.07762 0.999531
1.0876 0.999514
1.09758 0.999503
1.10756 0.999495
1.11753 0.999491
1.12751 0.99949
1.13749 0.999492
1.14747 0.999496
1.15745 0.999503
1.16742 0.999511
1.1774 0.999521
1.18738 0.999531
1.19736 0.999544
1.20734 0.999556
1.21731 0.99957
1.22729 0.999583
1.23727 0.999598
1.24725 0.999612
1.25723 0.999626
1.2672 0.999641
1.27718 0.999656
1.28716 0.99967
1.29714 0.999685
1.30712 0.999699
1.31709 0.999713
1.32707 0.999726
1.33705 0.99974
1.34703 0.999753
1.35701 0.999766
1.36698 0.999778
1.37696 0.99979
1.38694 0.999801
1.39692 0.999812
1.4069 0.999823
1.41687 0.999833
1.42685 0.999843
1.43683 0.999853
1.44681 0.999862
1.45679 0.99987
1.46676 0.999879
1.47674 0.999887
1.48672 0.999895
1.4967 0.999902
1.50668 0.999909
1.51665 0.999915
1.52663 0.999922
1.53661 0.999928
1.54659 0.999933
1.55657 0.999939
1.56654 0.999944
1.57652 0.999949
1.5865 0.999953
1.59648 0.999958
1.60646 0.999962
1.61643 0.999966
1.62641 0.999969
1.63639 0.999973
1.64637 0.999976
1.65635 0.999979
1.66632 0.999982
1.6763 0.999984
1.68628 0.999987
1.69626 0.999989
1.70624 0.999991
1.71621 0.999994
1.72619 0.999995
1.73617 0.999997
1.74615 0.999999
1.75613 1
1.7661 1
1.77608 1
1.78606 1
1.79604 1.00001
1.80602 1.00001
1.81599 1.00001
1.82597 1.00001
1.83595 1.00001
1.84593 1.00001
1.85591 1.00001
1.86588 1.00001
1.87586 1.00001
1.88584 1.00001
1.89582 1.00001
1.9058 1.00001
1.91577 1.00001
1.92575 1.00001
1.93573 1.00001
1.94571 1.00001
1.95569 1.00001
1.96566 1.00002
1.97564 1.00002
1.98562 1.00002
1.9956 1.00002
2.00558 1.00002
2.01555 1.00002
2.02553 1.00002
2.03551 1.00002
2.04549 1.00002
2.05547 1.00002
2.06544 1.00002
2.07542 1.00002
2.0854 1.00002
2.09538 1.00002
2.10536 1.00002
2.11533 1.00002
2.12531 1.00002
2.13529 1.00002
2.14527 1.00002
2.15525 1.00001
2.16522 1.00001
2.1752 1.00001
2.18518 1.00001
2.19516 1.00001
2.20514 1.00001
2.21511 1.00001
2.22509 1.00001
2.23507 1.00001
2.24505 1.00001
2.25503 1.00001
2.265 1.00001
2.27498 1.00001
2.28496 1.00001
2.29494 1.00001
2.30492 1.00001
2.31489 1.00001
2.32487 1.00001
2.33485 1.00001
2.34483 1.00001
2.35481 1.00001
2.36478 1.00001
2.37476 1.00001
2.38474 1.00001
2.39472 1.00001
2.40469 1.00001
2.41467 1.00001
2.42465 1.00001
2.43463 1.00001
2.44461 1.00001
2.45458 1.00001
2.46456 1.00001
2.47454 1.00001
2.48452 1.00001
2.4945 1.00001
2.50447 1.00001
2.51445 1.00001
2.52443 1.00001
2.53441 1.00001
2.54439 1.00001
