# ---X---	---$u_\mathrm{z}$---
3.16302 0.0328397
3.173 0.0328536
3.18298 0.0328673
3.19296 0.0328809
3.20293 0.0328944
3.21291 0.0329078
3.22289 0.032921
3.23287 0.0329342
3.24285 0.0329472
3.25282 0.0329601
3.2628 0.0329729
3.27278 0.0329856
3.28276 0.0329982
3.29274 0.0330107
3.30271 0.0330231
3.31269 0.0330353
3.32267 0.0330475
3.33265 0.0330595
3.34263 0.0330715
3.3526 0.0330833
3.36258 0.033095
3.37256 0.0331067
3.38254 0.0331182
3.39252 0.0331297
3.40249 0.033141
3.41247 0.0331522
3.42245 0.0331634
3.43243 0.0331744
3.44241 0.0331853
3.45238 0.0331962
3.46236 0.0332069
3.47234 0.0332176
3.48232 0.0332281
3.4923 0.0332386
3.50227 0.033249
3.51225 0.0332593
3.52223 0.0332694
3.53221 0.0332795
3.54219 0.0332895
3.55216 0.0332995
3.56214 0.0333093
3.57212 0.033319
3.5821 0.0333287
3.59208 0.0333382
3.60205 0.0333477
3.61203 0.0333571
3.62201 0.0333664
3.63199 0.0333756
3.64197 0.0333848
3.65194 0.0333938
3.66192 0.0334028
3.6719 0.0334117
3.68188 0.0334205
3.69186 0.0334292
3.70183 0.0334378
3.71181 0.0334464
3.72179 0.0334548
3.73177 0.0334632
3.74175 0.0334715
3.75172 0.0334798
3.7617 0.0334879
3.77168 0.033496
3.78166 0.033504
3.79164 0.0335119
3.80161 0.0335198
3.81159 0.0335276
3.82157 0.0335352
3.83155 0.0335429
3.84153 0.0335504
3.8515 0.0335579
3.86148 0.0335653
3.87146 0.0335726
3.88144 0.0335798
3.89142 0.033587
3.90139 0.0335941
3.91137 0.0336011
3.92135 0.0336081
3.93133 0.033615
3.94131 0.0336218
3.95128 0.0336285
3.96126 0.0336352
3.97124 0.0336418
3.98122 0.0336483
3.99119 0.0336548
4.00117 0.0336612
4.01115 0.0336675
4.02113 0.0336738
4.03111 0.03368
4.04108 0.0336861
4.05106 0.0336921
4.06104 0.0336981
4.07102 0.033704
4.081 0.0337099
4.09097 0.0337157
4.10095 0.0337214
4.11093 0.033727
4.12091 0.0337326
4.13089 0.0337382
4.14086 0.0337436
4.15084 0.033749
4.16082 0.0337543
4.1708 0.0337596
4.18078 0.0337648
4.19075 0.0337699
4.20073 0.033775
4.21071 0.03378
4.22069 0.033785
4.23067 0.0337899
4.24064 0.0337947
4.25062 0.0337994
4.2606 0.0338041
4.27058 0.0338088
4.28056 0.0338134
4.29053 0.0338179
4.30051 0.0338223
4.31049 0.0338267
4.32047 0.033831
4.33045 0.0338353
4.34042 0.0338395
4.3504 0.0338437
4.36038 0.0338478
4.37036 0.0338518
4.38034 0.0338558
4.39031 0.0338597
4.40029 0.0338636
4.41027 0.0338674
4.42025 0.0338711
4.43023 0.0338748
4.4402 0.0338784
4.45018 0.033882
4.46016 0.0338855
4.47014 0.0338889
4.48012 0.0338923
4.49009 0.0338956
4.50007 0.0338989
4.51005 0.0339021
4.52003 0.0339053
4.53001 0.0339084
4.53998 0.0339115
4.54996 0.0339144
4.55994 0.0339174
4.56992 0.0339203
4.5799 0.0339231
4.58987 0.0339259
4.59985 0.0339286
4.60983 0.0339312
4.61981 0.0339338
4.62979 0.0339364
4.63976 0.0339389
4.64974 0.0339413
4.65972 0.0339437
4.6697 0.033946
4.67968 0.0339483
4.68965 0.0339505
4.69963 0.0339526
4.70961 0.0339547
4.71959 0.0339568
4.72957 0.0339588
4.73954 0.0339607
4.74952 0.0339626
4.7595 0.0339645
4.76948 0.0339662
4.77946 0.033968
4.78943 0.0339696
4.79941 0.0339713
4.80939 0.0339728
4.81937 0.0339743
4.82935 0.0339758
4.83932 0.0339772
4.8493 0.0339785
4.85928 0.0339798
4.86926 0.0339811
4.87924 0.0339823
4.88921 0.0339834
4.89919 0.0339845
4.90917 0.0339855
4.91915 0.0339865
4.92913 0.0339874
4.9391 0.0339883
4.94908 0.0339891
4.95906 0.0339899
4.96904 0.0339906
4.97902 0.0339912
4.98899 0.0339919
4.99897 0.0339924
5.00895 0.0339929
5.01893 0.0339934
5.02891 0.0339938
5.03888 0.0339941
5.04886 0.0339944
5.05884 0.0339946
5.06882 0.0339948
5.0788 0.0339949
5.08877 0.033995
5.09875 0.033995
